#components,# top frequent features,accuracy for gender
100,5000,0.692
100,10000,0.690666667
100,15000,0.691333333
100,20000,0.696
100,25000,0.691333333
100,30000,0.692666667
100,35000,0.700666667
100,40000,0.693333333
100,45000,0.697333333
100,50000,0.686
120,5000,0.696666667
120,10000,0.694666667
120,15000,0.697333333
120,20000,0.696
120,25000,0.706666667
120,30000,0.696
120,35000,0.693333333
120,40000,0.690666667
120,45000,0.7
120,50000,0.702
140,5000,0.699333333
140,10000,0.7
140,15000,0.703333333
140,20000,0.702666667
140,25000,0.690666667
140,30000,0.694666667
140,35000,0.708666667
140,40000,0.698
140,45000,0.699333333
140,50000,0.694666667
160,5000,0.694666667
160,10000,0.706
160,15000,0.706
160,20000,0.700666667
160,25000,0.699333333
160,30000,0.706
160,35000,0.702
160,40000,0.7
160,45000,0.702
160,50000,0.708666667
180,5000,0.696666667
180,10000,0.700666667
180,15000,0.716
180,20000,0.701333333
180,25000,0.706
180,30000,0.716
180,35000,0.700666667
180,40000,0.708
180,45000,0.707333333
180,50000,0.701333333
200,5000,0.703333333
200,10000,0.698666667
200,15000,0.700666667
200,20000,0.703333333
200,25000,0.706
200,30000,0.709333333
200,35000,0.702
200,40000,0.706666667
200,45000,0.705333333
200,50000,0.706666667
